Season,Date,Time,Division,Visitor,Home,Location,Court
Fall 2010,10/24/2010,11:30am,8th Grade Silver,8S Arlington 8th,8S Nebraksa Ballerz,Lied Center,Court 1
Fall 2010,10/24/2010,12:30pm,8th Grade Gold,8G Harlan Cyclones 8th,8G Millard North 8th Silver,Lied Center,Court 1
Fall 2010,10/24/2010,1:30pm,8th Grade Gold,8G Westside 8th Black,8G Harlan Cyclones 8th,Lied Center,Court 1
Fall 2010,10/24/2010,2:30pm,8th Grade Gold,8G Omaha Heat 8th - Red,8G Gretna 8th Green,Lied Center,Court 1
Fall 2010,10/24/2010,3:30pm,8th Grade Silver,8S Omaha Heat 8th Black,8S Nebraska City Lourdes 8th,Lied Center,Court 1
Fall 2010,10/24/2010,4:30pm,8th Grade Silver,8S Lincoln Lasers 8th Purple,8S Nebraska City Lourdes 8th,Lied Center,Court 1
Fall 2010,10/24/2010,5:30pm,8th Grade Silver,8S Bellevue West 8th,8S Lincoln Lasers 8th Purple,Lied Center,Court 1
Fall 2010,10/24/2010,6:30pm,8th Grade Gold,8G Papillion LaVista Monarchs 8th,8G Millard West 8th Black,Lied Center,Court 1
Fall 2010,10/24/2010,7:30pm,8th Grade Gold,8G For Pete Steel Force 8th,8G Elkhorn Elite 8th Black,Lied Center,Court 1
Fall 2010,10/24/2010,10:30am,8th Grade Silver,8S Lady Rimshakers 8th,8S Council Bluffs Titans 8th Blue,Lied Center,Court 2
Fall 2010,10/24/2010,11:30am,8th Grade Silver,8S Gross Jr. Cougars 8th,8S Council Bluffs Titans 8th White,Lied Center,Court 2
Fall 2010,10/24/2010,12:30pm,8th Grade Silver,8S Elkhorn Elite 8th Red,8S TC Trojans 8th,Lied Center,Court 2
Fall 2010,10/24/2010,1:30pm,8th Grade Silver,8S Marian Nets 8th,8S Skutt 8th Black,Lied Center,Court 2
Fall 2010,10/24/2010,2:30pm,8th Grade Bronze,8B Ralston Rampage 8th,8B Millard North 8th Green,Lied Center,Court 2
Fall 2010,10/24/2010,3:30pm,8th Grade Bronze,8B Gretna 8th White,8B Mercy Monarchs 8th,Lied Center,Court 2
Fall 2010,10/24/2010,4:30pm,8th Grade Silver,8S OSA 8th,8S Papillion LaVista Monarchs 8th,Lied Center,Court 2
Fall 2010,10/24/2010,5:30pm,8th Grade Silver,8S Wahoops 8th,8S Millard South 8th Red,Lied Center,Court 2
Fall 2010,10/24/2010,6:30pm,8th Grade Silver,8S Legacy 8th,8S Westside 8th Red,Lied Center,Court 2
Fall 2010,10/24/2010,7:30pm,8th Grade Silver,8S Trailblazers 8th Blue,8S Treynor Cardinals 8th,Lied Center,Court 2
Fall 2010,10/24/2010,10:30am,7th Grade Silver,7S Millard North 7th Silver,7S OSA 7th,Lied Center,Court 3
Fall 2010,10/24/2010,11:30am,7th Grade Silver,7S Gretna 7th Green,7S Abraham Lincoln Jr. Lynx 7th,Lied Center,Court 3
Fall 2010,10/24/2010,12:30pm,7th Grade Gold,7G Bellevue East 7th,7G Bellevue West 7th,Lied Center,Court 3
Fall 2010,10/24/2010,1:30pm,7th Grade Gold,7G Millard West 7th Black,7G Gretna Lady Dragons 7th,Lied Center,Court 3
Fall 2010,10/24/2010,2:30pm,7th Grade Silver,7S Marian Nets 7th,7S Papillion LaVista Monarchs 7th,Lied Center,Court 3
Fall 2010,10/24/2010,3:30pm,7th Grade Silver,7S Millard South 7th Red,7S Treynor Cardinals 7th,Lied Center,Court 3
Fall 2010,10/24/2010,4:30pm,7th Grade Silver,7S Skutt 7th Black,7S Council Bluffs Titans 7th,Lied Center,Court 3
Fall 2010,10/24/2010,5:30pm,8th Grade Bronze,8B Millard West 8th Green,8B Huskies 8th,Lied Center,Court 3
Fall 2010,10/24/2010,6:30pm,7th Grade Gold,7G Wizards 7th,7G Lincoln Lasers 7th Gold,Lied Center,Court 3
Fall 2010,10/24/2010,7:30pm,7th Grade Gold,7G Westside 7th Black,7G Lincoln Lasers 7th Gold,Lied Center,Court 3
Fall 2010,10/24/2010,10:30am,7th Grade Bronze,7B Gross Jr. Cougars 7th,7B Papillioin LaVista South 7th,Lied Center,Court 4
Fall 2010,10/24/2010,11:30am,7th Grade Bronze,7B Millard West 7th Green,7B Nebraksa City Comets 7th,Lied Center,Court 4
Fall 2010,10/24/2010,12:30pm,7th Grade Bronze,7B Westside 7th White,7B Gretna 7th White,Lied Center,Court 4
Fall 2010,10/24/2010,2:30pm,7th Grade Bronze,7B Westside 7th Red,7B Glenwood 7th,Lied Center,Court 4
Fall 2010,10/24/2010,3:30pm,7th Grade Bronze,7B Millard North 7th Blue,7B Elkhorn Elite 7th Red,Lied Center,Court 4
Fall 2010,10/24/2010,4:30pm,7th Grade Bronze,7B Elkhorn Elite 7th Red,7B Elkhorn Elite 7th White,Lied Center,Court 4
Fall 2010,10/24/2010,5:30pm,7th Grade Bronze,7B Legacy 7th,7B Wahoops 7th,Lied Center,Court 4
Fall 2010,10/24/2010,6:30pm,7th Grade Bronze,7B Warriors 7th,7B Ralston Rampage 7th,Lied Center,Court 4
Fall 2010,10/24/2010,7:30pm,8th Grade Bronze,8B For Pete Lady Sky Force 8th,8B Orange Crush 8th,Lied Center,Court 4
Fall 2010,10/31/2010,10:30am,8th Grade Silver,8S Bellevue East 8th,8S Bellevue West 8th,Lied Center,Court 1
Fall 2010,10/31/2010,11:30am,8th Grade Silver,8S Gross Jr. Cougars 8th,8S Arlington 8th,Lied Center,Court 1
Fall 2010,10/31/2010,12:30pm,8th Grade Gold,8G Lincoln Lasers 8th Gold,8G For Pete Steel Force 8th,Lied Center,Court 1
Fall 2010,10/31/2010,1:30pm,8th Grade Gold,8G Lincoln Lasers 8th Gold,8G Omaha Heat 8th - Red,Lied Center,Court 1
Fall 2010,10/31/2010,2:30pm,8th Grade Silver,8S Papillion LaVista Monarchs 8th,8S Omaha Heat 8th Black,Lied Center,Court 1
Fall 2010,10/31/2010,3:30pm,8th Grade Gold,8G Millard West 8th Black,8G Westside 8th Black,Lied Center,Court 1
Fall 2010,10/31/2010,4:30pm,8th Grade Silver,8S Treynor Cardinals 8th,8S Wahoops 8th,Lied Center,Court 1
Fall 2010,10/31/2010,5:30pm,8th Grade Silver,8S Legacy 8th,8S Elkhorn Elite 8th Red,Lied Center,Court 1
Fall 2010,10/31/2010,6:30pm,8th Grade Gold,8G Elkhorn Elite 8th Black,8G Gretna 8th Green,Lied Center,Court 1
Fall 2010,10/31/2010,7:30pm,8th Grade Gold,8G Millard North 8th Silver,8G Papillion LaVista Monarchs 8th,Lied Center,Court 1
Fall 2010,10/31/2010,10:30am,8th Grade Silver,8S Council Bluffs Titans 8th Blue,8S TC Trojans 8th,Lied Center,Court 2
Fall 2010,10/31/2010,12:30pm,8th Grade Silver,8S Council Bluffs Titans 8th White,8S Lady Rimshakers 8th,Lied Center,Court 2
Fall 2010,10/31/2010,1:30pm,8th Grade Silver,8S Trailblazers 8th Blue,8S Millard North 8th Blue,Lied Center,Court 2
Fall 2010,10/31/2010,2:30pm,8th Grade Bronze,8B Millard North 8th Green,8B For Pete Lady Sky Force 8th,Lied Center,Court 2
Fall 2010,10/31/2010,3:30pm,8th Grade Bronze,8B Millard West 8th Green,8B Gretna 8th White,Lied Center,Court 2
Fall 2010,10/31/2010,4:30pm,8th Grade Bronze,8B Orange Crush 8th,8B Mercy Monarchs 8th,Lied Center,Court 2
Fall 2010,10/31/2010,5:30pm,8th Grade Silver,8S Skutt 8th Black,8S OSA 8th,Lied Center,Court 2
Fall 2010,10/31/2010,6:30pm,8th Grade Silver,8S Nebraksa Ballerz,8S Marian Nets 8th,Lied Center,Court 2
Fall 2010,10/31/2010,7:30pm,8th Grade Silver,8S Westside 8th Red,8S Millard South 8th Red,Lied Center,Court 2
Fall 2010,10/31/2010,11:30pm,7th Grade Silver,7S Abraham Lincoln Jr. Lynx 7th,7S Skutt 7th Black,Lied Center,Court 2
Fall 2010,10/31/2010,10:30am,7th Grade Silver,7S OSA 7th,7S Nebraska City Coments 7th Purple,Lied Center,Court 3
Fall 2010,10/31/2010,11:30am,7th Grade Silver,7S Millard North 7th Silver,7S Gretna 7th Green,Lied Center,Court 3
Fall 2010,10/31/2010,12:30pm,7th Grade Gold,7G Westside 7th Black,7G Bellevue East 7th,Lied Center,Court 3
Fall 2010,10/31/2010,1:30pm,7th Grade Gold,7G Gretna Lady Dragons 7th,7G Wizards 7th,Lied Center,Court 3
Fall 2010,10/31/2010,2:30pm,7th Grade Silver,7S Elkhorn Elite 7th Black,7S Marian Nets 7th,Lied Center,Court 3
Fall 2010,10/31/2010,3:30pm,7th Grade Silver,7S Papillion LaVista Monarchs 7th,7S Treynor Cardinals 7th,Lied Center,Court 3
Fall 2010,10/31/2010,4:30pm,7th Grade Silver,7S Council Bluffs Titans 7th,7S Millard South 7th Red,Lied Center,Court 3
Fall 2010,10/31/2010,5:30pm,8th Grade Bronze,8B Huskies 8th,8B Ralston Rampage 8th,Lied Center,Court 3
Fall 2010,10/31/2010,6:30pm,7th Grade Gold,7G Millard West 7th Black,7G Harlan Cyclones 7th,Lied Center,Court 3
Fall 2010,10/31/2010,7:30pm,7th Grade Gold,7G Harlan Cyclones 7th,7G Bellevue West 7th,Lied Center,Court 3
Fall 2010,10/31/2010,10:30am,7th Grade Bronze,7B Ralston Rampage 7th,7B Nebraksa City Comets 7th,Lied Center,Court 4
Fall 2010,10/31/2010,11:30am,7th Grade Bronze,7B Wahoops 7th,7B Millard West 7th Green,Lied Center,Court 4
Fall 2010,10/31/2010,12:30pm,7th Grade Bronze,7B Gretna 7th White,7B Millard North 7th Blue,Lied Center,Court 4
Fall 2010,10/31/2010,1:30pm,7th Grade Silver,7S Elkhorn Elite 7th Black,7S Nebraska City Coments 7th Purple,Lied Center,Court 4
Fall 2010,10/31/2010,2:30pm,7th Grade Bronze,7B Warriors 7th,7B Gross Jr. Cougars 7th,Lied Center,Court 4
Fall 2010,10/31/2010,3:30pm,7th Grade Bronze,7B Elkhorn Elite 7th Red,7B Legacy 7th,Lied Center,Court 4
Fall 2010,10/31/2010,4:30pm,7th Grade Bronze,7B Glenwood 7th,7B Elkhorn Elite 7th Red,Lied Center,Court 4
Fall 2010,10/31/2010,5:30pm,7th Grade Bronze,7B Papillioin LaVista South 7th,7B Westside 7th Red,Lied Center,Court 4
Fall 2010,10/31/2010,6:30pm,7th Grade Bronze,7B Elkhorn Elite 7th White,7B Westside 7th White,Lied Center,Court 4
Fall 2010,11/7/2010,10:30am,8th Grade Silver,8S Papillion LaVista Monarchs 8th,8S Council Bluffs Titans 8th Blue,Lied Center,Court 1
Fall 2010,11/7/2010,11:30am,8th Grade Silver,8S Nebraska City Lourdes 8th,8S Millard South 8th Red,Lied Center,Court 1
Fall 2010,11/7/2010,12:30pm,8th Grade Gold,8G Millard West 8th Black,8G Millard North 8th Silver,Lied Center,Court 1
Fall 2010,11/7/2010,1:30pm,8th Grade Gold,8G Westside 8th Black,8G Papillion LaVista Monarchs 8th,Lied Center,Court 1
Fall 2010,11/7/2010,2:30pm,8th Grade Silver,8S Westside 8th Red,8S Treynor Cardinals 8th,Lied Center,Court 1
Fall 2010,11/7/2010,3:30pm,8th Grade Silver,8S Lady Rimshakers 8th,8S Skutt 8th Black,Lied Center,Court 1
Fall 2010,11/7/2010,4:30pm,8th Grade Silver,8S Nebraksa Ballerz,8S TC Trojans 8th,Lied Center,Court 1
Fall 2010,11/7/2010,5:30pm,8th Grade Gold,8G Omaha Heat 8th - Red,8G Elkhorn Elite 8th Black,Lied Center,Court 1
Fall 2010,11/7/2010,6:30pm,8th Grade Gold,8G Harlan Cyclones 8th,8G Gretna 8th Green,Lied Center,Court 1
Fall 2010,11/7/2010,7:30pm,8th Grade Gold,8G Harlan Cyclones 8th,8G For Pete Steel Force 8th,Lied Center,Court 1
Fall 2010,11/7/2010,10:30am,8th Grade Silver,8S Arlington 8th,8S Marian Nets 8th,Lied Center,Court 2
Fall 2010,11/7/2010,11:30am,8th Grade Silver,8S Bellevue East 8th,8S Council Bluffs Titans 8th White,Lied Center,Court 2
Fall 2010,11/7/2010,12:30pm,8th Grade Silver,8S Bellevue West 8th,8S Legacy 8th,Lied Center,Court 2
Fall 2010,11/7/2010,1:30pm,8th Grade Silver,8S Elkhorn Elite 8th Red,8S Trailblazers 8th Blue,Lied Center,Court 2
Fall 2010,11/7/2010,2:30pm,8th Grade Bronze,8B For Pete Lady Sky Force 8th,8B Huskies 8th,Lied Center,Court 2
Fall 2010,11/7/2010,3:30pm,8th Grade Bronze,8B Ralston Rampage 8th,8B Millard West 8th Green,Lied Center,Court 2
Fall 2010,11/7/2010,4:30pm,8th Grade Bronze,8B Gretna 8th White,8B Orange Crush 8th,Lied Center,Court 2
Fall 2010,11/7/2010,5:30pm,8th Grade Silver,8S Millard North 8th Blue,8S Wahoops 8th,Lied Center,Court 2
Fall 2010,11/7/2010,6:30pm,8th Grade Silver,8S Council Bluffs Titans 8th White,8S Lincoln Lasers 8th Purple,Lied Center,Court 2
Fall 2010,11/7/2010,7:30pm,8th Grade Silver,8S Lincoln Lasers 8th Purple,8S Omaha Heat 8th Black,Lied Center,Court 2
Fall 2010,11/7/2010,10:30am,7th Grade Silver,7S OSA 7th,7S Marian Nets 7th,Lied Center,Court 3
Fall 2010,11/7/2010,11:30am,7th Grade Silver,7S Papillion LaVista Monarchs 7th,7S Abraham Lincoln Jr. Lynx 7th,Lied Center,Court 3
Fall 2010,11/7/2010,12:30pm,7th Grade Gold,7G Gretna Lady Dragons 7th,7G Lincoln Lasers 7th Gold,Lied Center,Court 3
Fall 2010,11/7/2010,1:30pm,7th Grade Gold,7G Millard West 7th Black,7G Lincoln Lasers 7th Gold,Lied Center,Court 3
Fall 2010,11/7/2010,2:30pm,7th Grade Silver,7S Gretna 7th Green,7S Nebraska City Coments 7th Purple,Lied Center,Court 3
Fall 2010,11/7/2010,3:30pm,7th Grade Silver,7S Treynor Cardinals 7th,7S Elkhorn Elite 7th Black,Lied Center,Court 3
Fall 2010,11/7/2010,4:30pm,7th Grade Silver,7S Millard North 7th Silver,7S Council Bluffs Titans 7th,Lied Center,Court 3
Fall 2010,11/7/2010,5:30pm,8th Grade Bronze,8B Mercy Monarchs 8th,8B Millard North 8th Green,Lied Center,Court 3
Fall 2010,11/7/2010,6:30pm,7th Grade Gold,7G Wizards 7th,7G Bellevue East 7th,Lied Center,Court 3
Fall 2010,11/7/2010,7:30pm,7th Grade Gold,7G Bellevue West 7th,7G Westside 7th Black,Lied Center,Court 3
Fall 2010,11/7/2010,10:30am,7th Grade Bronze,7B Westside 7th White,7B Glenwood 7th,Lied Center,Court 4
Fall 2010,11/7/2010,11:30am,7th Grade Bronze,7B Gross Jr. Cougars 7th,7B Ralston Rampage 7th,Lied Center,Court 4
Fall 2010,11/7/2010,12:30pm,7th Grade Bronze,7B Westside 7th Red,7B Warriors 7th,Lied Center,Court 4
Fall 2010,11/7/2010,1:30pm,7th Grade Silver,7S Millard South 7th Red,7S Skutt 7th Black,Lied Center,Court 4
Fall 2010,11/7/2010,2:30pm,7th Grade Bronze,7B Millard North 7th Blue,7B Elkhorn Elite 7th White,Lied Center,Court 4
Fall 2010,11/7/2010,3:30pm,7th Grade Bronze,7B Millard West 7th Green,7B Elkhorn Elite 7th Red,Lied Center,Court 4
Fall 2010,11/7/2010,4:30pm,7th Grade Bronze,7B Elkhorn Elite 7th Red,7B Papillioin LaVista South 7th,Lied Center,Court 4
Fall 2010,11/7/2010,5:30pm,7th Grade Bronze,7B Nebraksa City Comets 7th,7B Wahoops 7th,Lied Center,Court 4
Fall 2010,11/7/2010,6:30pm,7th Grade Bronze,7B Legacy 7th,7B Gretna 7th White,Lied Center,Court 4
Fall 2010,11/7/2010,7:30pm,8th Grade Silver,8S Gross Jr. Cougars 8th,8S OSA 8th,Lied Center,Court 4
Fall 2010,11/14/2010,10:30am,8th Grade Silver,8S Marian Nets 8th,8S TC Trojans 8th,Lied Center,Court 1
Fall 2010,11/14/2010,11:30am,8th Grade Silver,8S Council Bluffs Titans 8th Blue,8S Trailblazers 8th Blue,Lied Center,Court 1
Fall 2010,11/14/2010,12:30pm,8th Grade Gold,8G Omaha Heat 8th - Red,8G Papillion LaVista Monarchs 8th,Lied Center,Court 1
Fall 2010,11/14/2010,1:30pm,8th Grade Gold,8G Millard North 8th Silver,8G Elkhorn Elite 8th Black,Lied Center,Court 1
Fall 2010,11/14/2010,2:30pm,8th Grade Silver,8S OSA 8th,8S Nebraksa Ballerz,Lied Center,Court 1
Fall 2010,11/14/2010,3:30pm,8th Grade Gold,8G For Pete Steel Force 8th,8G Millard West 8th Black,Lied Center,Court 1
Fall 2010,11/14/2010,4:30pm,8th Grade Silver,8S Bellevue West 8th,8S Arlington 8th,Lied Center,Court 1
Fall 2010,11/14/2010,5:30pm,8th Grade Silver,8S Wahoops 8th,8S Nebraska City Lourdes 8th,Lied Center,Court 1
Fall 2010,11/14/2010,6:30pm,8th Grade Gold,8G Lincoln Lasers 8th Gold,8G Westside 8th Black,Lied Center,Court 1
Fall 2010,11/14/2010,7:30pm,8th Grade Gold,8G Gretna 8th Green,8G Lincoln Lasers 8th Gold,Lied Center,Court 1
Fall 2010,11/14/2010,10:30am,8th Grade Silver,8S Bellevue East 8th,8S Treynor Cardinals 8th,Lied Center,Court 2
Fall 2010,11/14/2010,11:30am,8th Grade Silver,8S Westside 8th Red,8S Millard North 8th Blue,Lied Center,Court 2
Fall 2010,11/14/2010,12:30pm,8th Grade Silver,8S Marian Nets 8th,8S Millard North 8th Blue,Lied Center,Court 2
Fall 2010,11/14/2010,1:30pm,8th Grade Silver,8S Legacy 8th,8S Omaha Heat 8th Black,Lied Center,Court 2
Fall 2010,11/14/2010,2:30pm,8th Grade Bronze,8B Millard North 8th Green,8B Orange Crush 8th,Lied Center,Court 2
Fall 2010,11/14/2010,3:30pm,8th Grade Bronze,8B Ralston Rampage 8th,8B Gretna 8th White,Lied Center,Court 2
Fall 2010,11/14/2010,4:30pm,8th Grade Bronze,8B Huskies 8th,8B Mercy Monarchs 8th,Lied Center,Court 2
Fall 2010,11/14/2010,5:30pm,8th Grade Silver,8S Millard South 8th Red,8S Lady Rimshakers 8th,Lied Center,Court 2
Fall 2010,11/14/2010,6:30pm,8th Grade Silver,8S Skutt 8th Black,8S Gross Jr. Cougars 8th,Lied Center,Court 2
Fall 2010,11/14/2010,7:30pm,8th Grade Silver,8S Papillion LaVista Monarchs 8th,8S Elkhorn Elite 8th Red,Lied Center,Court 2
Fall 2010,11/14/2010,10:30am,7th Grade Silver,7S Abraham Lincoln Jr. Lynx 7th,7S Treynor Cardinals 7th,Lied Center,Court 3
Fall 2010,11/14/2010,11:30am,7th Grade Silver,7S OSA 7th,7S Gretna 7th Green,Lied Center,Court 3
Fall 2010,11/14/2010,12:30pm,7th Grade Silver,7S Millard North 7th Silver,7S Papillion LaVista Monarchs 7th,Lied Center,Court 3
Fall 2010,11/14/2010,1:30pm,7th Grade Gold,7G Harlan Cyclones 7th,7G Wizards 7th,Lied Center,Court 3
Fall 2010,11/14/2010,2:30pm,7th Grade Silver,7S Skutt 7th Black,7S Elkhorn Elite 7th Black,Lied Center,Court 3
Fall 2010,11/14/2010,3:30pm,7th Grade Silver,7S Nebraska City Coments 7th Purple,7S Millard South 7th Red,Lied Center,Court 3
